University,Page_URL,Keyword_Found,Context
csjmu.ac.in,https://csjmu.ac.in/frontpage/screen-reader-access/,FYUP,"Academics Schools Of Study Atal Bihari Vajpayee School Of Legal Studies School of Advanced Agriculture Sciences and Technology School of Arts, Humanities and Social Sciences Department of Clinical Psychology Deen Dayal Shodh Kendra Department Of Economics Department Of Journalism And Mass Communication Department of Library Science Department of Lifelong Learning and Extension Department Of Social Work School Of Basic Sciences Department of Physics Department of Chemistry Department of Mathematics School Of Creative And Performing Arts Department Of Fine Arts Department Of Music School Of Business Management School Of Engineering And Technology (UIET) School Of Health Sciences School Of Hotel Management School Of Languages हिंदी विभाग Department of English and Modern European and Other Foreign Languages School of Life Sciences And Biotechnology Department Of Life Sciences And Biotechnology School of Pharmaceutical Sciences Department Of Pharmaceutical Sciences School of Teacher Education Department Of Advanced Educational Research And Teaching Of Educational Foundations Department of Physical Education NEP 2020 FYUP Document University Syllabus Academic Calendar Equivalence Of Courses/Degrees Guidelines for Pursuing Two Academic Programs Simultaneously Education Verification"
csjmu.ac.in,https://csjmu.ac.in/frontpage/screen-reader-access/,FYUP,FYUP Document
csjmu.ac.in,https://csjmu.ac.in,FYUP,"Academics Schools Of Study Atal Bihari Vajpayee School Of Legal Studies School of Advanced Agriculture Sciences and Technology School of Arts, Humanities and Social Sciences Department of Clinical Psychology Deen Dayal Shodh Kendra Department Of Economics Department Of Journalism And Mass Communication Department of Library Science Department of Lifelong Learning and Extension Department Of Social Work School Of Basic Sciences Department of Physics Department of Chemistry Department of Mathematics School Of Creative And Performing Arts Department Of Fine Arts Department Of Music School Of Business Management School Of Engineering And Technology (UIET) School Of Health Sciences School Of Hotel Management School Of Languages हिंदी विभाग Department of English and Modern European and Other Foreign Languages School of Life Sciences And Biotechnology Department Of Life Sciences And Biotechnology School of Pharmaceutical Sciences Department Of Pharmaceutical Sciences School of Teacher Education Department Of Advanced Educational Research And Teaching Of Educational Foundations Department of Physical Education NEP 2020 FYUP Document University Syllabus Academic Calendar Equivalence Of Courses/Degrees Guidelines for Pursuing Two Academic Programs Simultaneously Education Verification"
csjmu.ac.in,https://csjmu.ac.in,FYUP,FYUP Document
csjmu.ac.in,https://csjmu.ac.in/university/history/,FYUP,"Academics Schools Of Study Atal Bihari Vajpayee School Of Legal Studies School of Advanced Agriculture Sciences and Technology School of Arts, Humanities and Social Sciences Department of Clinical Psychology Deen Dayal Shodh Kendra Department Of Economics Department Of Journalism And Mass Communication Department of Library Science Department of Lifelong Learning and Extension Department Of Social Work School Of Basic Sciences Department of Physics Department of Chemistry Department of Mathematics School Of Creative And Performing Arts Department Of Fine Arts Department Of Music School Of Business Management School Of Engineering And Technology (UIET) School Of Health Sciences School Of Hotel Management School Of Languages हिंदी विभाग Department of English and Modern European and Other Foreign Languages School of Life Sciences And Biotechnology Department Of Life Sciences And Biotechnology School of Pharmaceutical Sciences Department Of Pharmaceutical Sciences School of Teacher Education Department Of Advanced Educational Research And Teaching Of Educational Foundations Department of Physical Education NEP 2020 FYUP Document University Syllabus Academic Calendar Equivalence Of Courses/Degrees Guidelines for Pursuing Two Academic Programs Simultaneously Education Verification"
csjmu.ac.in,https://csjmu.ac.in/university/history/,FYUP,FYUP Document
csjmu.ac.in,https://csjmu.ac.in/university/about-university/,FYUP,"Academics Schools Of Study Atal Bihari Vajpayee School Of Legal Studies School of Advanced Agriculture Sciences and Technology School of Arts, Humanities and Social Sciences Department of Clinical Psychology Deen Dayal Shodh Kendra Department Of Economics Department Of Journalism And Mass Communication Department of Library Science Department of Lifelong Learning and Extension Department Of Social Work School Of Basic Sciences Department of Physics Department of Chemistry Department of Mathematics School Of Creative And Performing Arts Department Of Fine Arts Department Of Music School Of Business Management School Of Engineering And Technology (UIET) School Of Health Sciences School Of Hotel Management School Of Languages हिंदी विभाग Department of English and Modern European and Other Foreign Languages School of Life Sciences And Biotechnology Department Of Life Sciences And Biotechnology School of Pharmaceutical Sciences Department Of Pharmaceutical Sciences School of Teacher Education Department Of Advanced Educational Research And Teaching Of Educational Foundations Department of Physical Education NEP 2020 FYUP Document University Syllabus Academic Calendar Equivalence Of Courses/Degrees Guidelines for Pursuing Two Academic Programs Simultaneously Education Verification"
csjmu.ac.in,https://csjmu.ac.in/university/about-university/,FYUP,FYUP Document
csjmu.ac.in,https://csjmu.ac.in/university/emblem/,FYUP,"Academics Schools Of Study Atal Bihari Vajpayee School Of Legal Studies School of Advanced Agriculture Sciences and Technology School of Arts, Humanities and Social Sciences Department of Clinical Psychology Deen Dayal Shodh Kendra Department Of Economics Department Of Journalism And Mass Communication Department of Library Science Department of Lifelong Learning and Extension Department Of Social Work School Of Basic Sciences Department of Physics Department of Chemistry Department of Mathematics School Of Creative And Performing Arts Department Of Fine Arts Department Of Music School Of Business Management School Of Engineering And Technology (UIET) School Of Health Sciences School Of Hotel Management School Of Languages हिंदी विभाग Department of English and Modern European and Other Foreign Languages School of Life Sciences And Biotechnology Department Of Life Sciences And Biotechnology School of Pharmaceutical Sciences Department Of Pharmaceutical Sciences School of Teacher Education Department Of Advanced Educational Research And Teaching Of Educational Foundations Department of Physical Education NEP 2020 FYUP Document University Syllabus Academic Calendar Equivalence Of Courses/Degrees Guidelines for Pursuing Two Academic Programs Simultaneously Education Verification"
csjmu.ac.in,https://csjmu.ac.in/university/emblem/,FYUP,FYUP Document
csjmu.ac.in,https://csjmu.ac.in/university/mission-vision/,FYUP,"Academics Schools Of Study Atal Bihari Vajpayee School Of Legal Studies School of Advanced Agriculture Sciences and Technology School of Arts, Humanities and Social Sciences Department of Clinical Psychology Deen Dayal Shodh Kendra Department Of Economics Department Of Journalism And Mass Communication Department of Library Science Department of Lifelong Learning and Extension Department Of Social Work School Of Basic Sciences Department of Physics Department of Chemistry Department of Mathematics School Of Creative And Performing Arts Department Of Fine Arts Department Of Music School Of Business Management School Of Engineering And Technology (UIET) School Of Health Sciences School Of Hotel Management School Of Languages हिंदी विभाग Department of English and Modern European and Other Foreign Languages School of Life Sciences And Biotechnology Department Of Life Sciences And Biotechnology School of Pharmaceutical Sciences Department Of Pharmaceutical Sciences School of Teacher Education Department Of Advanced Educational Research And Teaching Of Educational Foundations Department of Physical Education NEP 2020 FYUP Document University Syllabus Academic Calendar Equivalence Of Courses/Degrees Guidelines for Pursuing Two Academic Programs Simultaneously Education Verification"
csjmu.ac.in,https://csjmu.ac.in/university/mission-vision/,FYUP,FYUP Document
csjmu.ac.in,https://csjmu.ac.in/university/code-of-conduct/,FYUP,"Academics Schools Of Study Atal Bihari Vajpayee School Of Legal Studies School of Advanced Agriculture Sciences and Technology School of Arts, Humanities and Social Sciences Department of Clinical Psychology Deen Dayal Shodh Kendra Department Of Economics Department Of Journalism And Mass Communication Department of Library Science Department of Lifelong Learning and Extension Department Of Social Work School Of Basic Sciences Department of Physics Department of Chemistry Department of Mathematics School Of Creative And Performing Arts Department Of Fine Arts Department Of Music School Of Business Management School Of Engineering And Technology (UIET) School Of Health Sciences School Of Hotel Management School Of Languages हिंदी विभाग Department of English and Modern European and Other Foreign Languages School of Life Sciences And Biotechnology Department Of Life Sciences And Biotechnology School of Pharmaceutical Sciences Department Of Pharmaceutical Sciences School of Teacher Education Department Of Advanced Educational Research And Teaching Of Educational Foundations Department of Physical Education NEP 2020 FYUP Document University Syllabus Academic Calendar Equivalence Of Courses/Degrees Guidelines for Pursuing Two Academic Programs Simultaneously Education Verification"
csjmu.ac.in,https://csjmu.ac.in/university/code-of-conduct/,FYUP,FYUP Document
csjmu.ac.in,https://csjmu.ac.in/frontpage/university-at-a-glance/,FYUP,"Academics Schools Of Study Atal Bihari Vajpayee School Of Legal Studies School of Advanced Agriculture Sciences and Technology School of Arts, Humanities and Social Sciences Department of Clinical Psychology Deen Dayal Shodh Kendra Department Of Economics Department Of Journalism And Mass Communication Department of Library Science Department of Lifelong Learning and Extension Department Of Social Work School Of Basic Sciences Department of Physics Department of Chemistry Department of Mathematics School Of Creative And Performing Arts Department Of Fine Arts Department Of Music School Of Business Management School Of Engineering And Technology (UIET) School Of Health Sciences School Of Hotel Management School Of Languages हिंदी विभाग Department of English and Modern European and Other Foreign Languages School of Life Sciences And Biotechnology Department Of Life Sciences And Biotechnology School of Pharmaceutical Sciences Department Of Pharmaceutical Sciences School of Teacher Education Department Of Advanced Educational Research And Teaching Of Educational Foundations Department of Physical Education NEP 2020 FYUP Document University Syllabus Academic Calendar Equivalence Of Courses/Degrees Guidelines for Pursuing Two Academic Programs Simultaneously Education Verification"
csjmu.ac.in,https://csjmu.ac.in/frontpage/university-at-a-glance/,FYUP,FYUP Document
www.davuniversity.org,https://www.davuniversity.org/,Multiple Entry,"DAV University embraces the progressive National Education Policy 2020 (NEP 2020) to offer an enriching academic experience. With NEP 2020, we have introduced a transformative Modular System, enabling students to customize their learning journey with Modules, Modular Credits, and diverse Modular System. This dynamic approach allows students to earn credits based on their performance, promoting a flexible and student-centric Academic Year. Emphasizing Multiple entry and exit options, our university empowers learners to chart their educational path and achieve their goals at their own pace. With a focus on holistic development and innovative teaching methods, we nurture students to excel and attain their desired Degree Classification."
www.davuniversity.org,https://www.davuniversity.org/innerpage/nep.aspx,Multiple Entry,"DAV University embraces the progressive National Education Policy 2020 (NEP 2020) to offer an enriching academic experience. With NEP 2020, we have introduced a transformative Modular System, enabling students to customize their learning journey with Modules, Modular Credits, and diverse Modular System. This dynamic approach allows students to earn credits based on their performance, promoting a flexible and student-centric Academic Year. Emphasizing Multiple entry and exit options, our university empowers learners to chart their educational path and achieve their goals at their own pace. With a focus on holistic development and innovative teaching methods, we nurture students to excel and attain their desired Degree Classification."
www.davuniversity.org,https://www.davuniversity.org/innerpage/nep.aspx,Multiple Entry,Multiple entry and exit options.
www.davuniversity.org,https://www.davuniversity.org/innerpage/nep.aspx,Multiple Entry,"Multiple Entry and Exit Options allow students to exit the program and receive an Undergraduate Certificate (44 credits), Undergraduate Diploma (80 credits), or Bachelor's Degree (120 credits). Honours students completing 160 credits earn a Bachelor's Degree (Honours), while those with research obtain a Bachelor's Degree (Honours with Research)."
www.davuniversity.org,https://www.davuniversity.org/innerpage/nep.aspx,Multiple Entry,Multiple Entry
www.davuniversity.org,https://www.davuniversity.org/innerpage/nep.aspx,Multiple Entry,The Academic Bank of Credit (ABC) is a concept introduced under India's National Education Policy 2020 (NEP 2020). It is a novel and innovative system that aims to promote flexibility and transparency in higher education by enabling students to accumulate academic credits for the courses they complete. The ABC system is designed to facilitate seamless mobility and facilitate multiple entry and exit points for learners within the higher education framework.
www.davuniversity.org,https://www.davuniversity.org/innerpage/nep.aspx,Multiple Entry,Multiple Entry and Exit Points
www.davuniversity.org,https://www.davuniversity.org/innerpage/nep.aspx,Multiple Entry,"The ABC system enables students to have multiple entry and exit points within the higher education system. This means that students can enroll, take a break, or exit the education system at different stages while still being able to retain the credits they have earned."
dsu.ac.in,https://dsu.ac.in/about,Multiple Entry,The Delhi Sports University offers multiple entry points for Sports persons. Athletes can join the formal education system after completing prescribed bridge courses.
dmu.ac.in,https://dmu.ac.in/notifications,Four-Year Undergraduate Programme,ORDERS: Relaxation in Eligibility for Continuation to Fourth Year of Four-Year Undergraduate Programme (Academic Session 2025–26)
www.dsu.ac.in,https://www.dsu.ac.in/about,Multiple Entry,The Delhi Sports University offers multiple entry points for Sports persons. Athletes can join the formal education system after completing prescribed bridge courses.
www.ganpatuniversity.ac.in,https://www.ganpatuniversity.ac.in/about/nep,Multiple Entry,"(1) NEP 2020: In accordance with the NEP 2020, GR No. KCG/admin/2023-24/0607/kh.1 Sachivalaya, Gandhinagar dated 11/07/2023 and No. KCG/NEP2020/2023-24/1149 dated 23/08/2023, have prepared the framework for Basic Science Programs, Social Science & Humanities programs and will be rolling out the courses in accordance with the guidelines mentioned thereof w.e.f academic year 2023-24 with Multiple Entry & Multiple Exit provisions. (2) Credit Accumulation: Have initiated the uploading of credits earned by the students on Academic Bank of Credits (ABC) portal as per the guidelines issued by NAD & ABC. Formulated Regulation for adoption of MOOC courses in curriculum and transfer of credits (3) Outcome Based Education (OBE): Implemented the OBE with respect to Classroom Teaching, Laboratory and practical Projects/Assignments, experiential learning by field/industry visits, Internships and Participation in NCC/NSS/Sports/Yoga etc. Have provided the training to the faculties of university for CO/PO/PSO Calculation, implementation and attainment. (4) Inclusion of Indian Knowledge System, Skill based Curriculum in all educational programs and integration of Vocational education with educational programs. University has signed MoU with ISKON & BAPS for Special Courses on Life Skills, Value Education, Bhagwad Geeta and Indian Tradition of Knowledge. (5) Workshop for Implementation of NEP 2020: As a part of awareness among all stakeholders, Ganpat University has organized one-day workshop on “Teacher’s Role in NEP Implementation” jointly with NITI Aayog, Govt. of. India on March 10, 2021 and workshop on National Policy 2020 with theme of “Publicly Spirited Leadership & Governance on September 03,2021. (6) Launch of programs: Launched the Apprenticeship Embedded Degree Programme i.e. BBA (Logistic) in association with Logistic Skill Council of India, Govt. of India. Design Entrepreneurship Integrated Learning Model for offering program in MBA (Innovation, Entrepreneurship and Venture Development). Established various CoEs and industry linked program in B. Tech. (CSE) in Cloud Based Applications, Big Data & Analytics, and Cyber Security with IBM, MBA (Business Analytics) with SAS, MCA and M.Tech. EC with e-Infochips, MBA (Hospital and Healthcare Management) with Shalby Hospitals, B. Tech. in CSBS with TCS. (7) Multidisciplinary Education: Offered Programs in Liberal Studies (4 Yrs), Ph.D. Program Admission for Interdisciplinary Research, Panchkriya Courses: Five Fundamental Skills (Cooking & Nutrition, Personal Health & Fitness, Green Living, Maintenance & Trouble shooting Basics, Design Thinking). (8) Apprenticeship Embedded Degree Programme: Launched BBA (Logistic) in association with Logistic Skill Council of India. (9) Encouraging students for approved online courses: Formulated the Regulation for adoption of MOOC courses in curriculum and consider the transfer of credits. (10) Equity and Inclusion Initiative: Offered Special Scholarship Scheme for Orphan & Vulnerable Children and 40+ students benefited. Provisioned Scholarship for Economic Weaker Students & enacted Scholarship Policy for Sports Person. (11) Established Student Support Cell & nominated Associate Dean for Student Support Services (12) Office of International Affairs & Foreign Collaborations: Established Centre for International Alliance (CIA) & Appointed Chairperson of to help, promote, support and provide admissions to international students. (13) Alumni Connect: 31000+ Alumni effectively utilized online Alumni Portal (ALMASHINE) to connect with GUNI ALUMNI with objectives of Keeping updated for various Initiatives, Reconnect the Alumni, Alumni Events & Activities & Career Opportunities by posting various jobs. (14) Courses in Indian Languages: Designed Curriculum in Gujarati Language for Diploma Engineering Programs, Drawing Question Papers in Gujarati & Allowing students to write answers in Gujarati also (15) Industry – Institute Linkage: Offering programs in association with Industries (B.Tech. CSE with IBM, B.Tech. CSBS with TCS, MBA Business Analytics with SAS, M.Tech EC (VLSI & Embedded Systems) with eInfochips, MCA in association with eInfochips) Future Planning For The Implementation Of NEP-2020: (1) Teaching Learning Aspects : Upgradation of Libraries, Physical Infrastructure, Teaching Infrastructure, Student Support related services and academic transformation as per NEP 2020. (2) Open and Distance Learning: Concrete efforts shall be made on encouraging students for earning online credits by Open and Distance Learning (SWAYAM/Other Govt Approved Educational Platform). Planning to offer the ODL & Online Programmes through approval of respective statutory councils. (3) Focus on improving student’s knowledge & Skills: Development of Educational Framework for Global Citizen in Higher Education Domain. (4) Bridging the Gap between hard & Soft Sciences: Development of courses with a mix of study of hard and soft sciences with an aim to develop employability, skill enhancement and entrepreneurship (Interdisciplinary/Multidisciplinary education). (5) CoE/IoE: Planning for obtaining the status of – Centre of Excellence & Institute of Eminence. (6) Going global: Undertaking Research & technology transfer, student exchange, MoUs, societal development activities and practices and development of more no. of research based Centre of excellences with University-Industry partnership at national/international platforms. (7) Promotion of research Culture: Excelling the university in research domain with additional infrastructure, state of art laboratory, & instruments, Sponsored research, IPR Creations and Academic excellence with research practices. (8) Continual striving for achieving better and higher performances in International/National/Regional level Accreditations, certifications and auditing programs/events to embark global presence."
www.ganpatuniversity.ac.in,https://www.ganpatuniversity.ac.in/about/nep,Multiple Entry,"(1) NEP 2020: In accordance with the NEP 2020, GR No. KCG/admin/2023-24/0607/kh.1 Sachivalaya, Gandhinagar dated 11/07/2023 and No. KCG/NEP2020/2023-24/1149 dated 23/08/2023, have prepared the framework for Basic Science Programs, Social Science & Humanities programs and will be rolling out the courses in accordance with the guidelines mentioned thereof w.e.f academic year 2023-24 with Multiple Entry & Multiple Exit provisions."
www.iujaipur.edu.in,https://www.iujaipur.edu.in/eventspage,Multiple Entry,"Awareness Session NEP Report ISLA Session on NEP 2020 with Focus on ABC ID, Multiple Entry/Exit Options and relevance of MOOCs Aug 14, 2025 More info"
www.iujaipur.edu.in,https://www.iujaipur.edu.in/eventspage,Multiple Entry,"Session on NEP 2020 with Focus on ABC ID, Multiple Entry/Exit Options and relevance of MOOCs"
www.iisc.ac.in,https://www.iisc.ac.in/about/foreword-from-the-director/,Four-Year Undergraduate Programme,"IISc’s research output is diverse, interdisciplinary and cuts across traditional boundaries. The Institute has over 42 academic departments and centres that come under six divisions. It also places equal emphasis on student learning, with about 4000 students pursuing several postgraduate and PhD programmes, as well as a dedicated four-year undergraduate programme aimed at providing research-oriented training for young students in the basic sciences."
www.ignou.ac.in,http://www.ignou.ac.in/,Four-Year Undergraduate Programme,"Welcome to Indira Gandhi National Open University (IGNOU), a premier institution established by an Act of Parliament in 1985 with the mission to democratize education in India and                  beyond. Empowered by the IGNOU Act, the University holds a unique mandate to provide inclusive and equitable access to higher education across the nation and through its overseas                  learner support centres, reflecting its expansive jurisdiction and global vision. Read More Vice Chancellor's Message Welcome to Indira Gandhi National Open University (IGNOU), a premier institution established by an Act of Parliament in 1985 with the mission to democratize                                      education                                      in India and beyond. Empowered by the IGNOU Act, the University holds a unique mandate to provide inclusive and equitable access to higher education across the                                      nation                                      and through its overseas learner support centres, reflecting its expansive jurisdiction and global vision. IGNOU proudly stands as the No. 1 Open University in the National Institutional Ranking                                      Framework (NIRF) and the first Open University to receive the prestigious A++                                      accreditation from NAAC, these are recognitions of its excellence in the open, distance and                                      online learning system. With over 69 Regional Centres, 2,000+ Learner Support Centres                                      pan-India, and 25 Overseas Study Centres in 15 countries, IGNOU reaches the remotest                                      corners of India and serves diverse learners, including marginalized communities, persons                                      with disabilities, and international students. As a torchbearer of innovation, IGNOU integrates technology with education through                                      initiatives like MOOCs on SWAYAM, SWAYAM PRABHA channels, and e-Gyankosh,                                      ensuring quality education is both accessible and affordable. With 325 programmes,                                      including Four-Year Undergraduate Programmes (FYUP) and skill-based courses, the                                      University continues to align with the National Education Policy 2020 to meet emerging                                      educational and professional needs. IGNOU offers 45 online academic programmes through                                      its own Learning Management System (LMS). IGNOU has attained a significant milestone in the realm of innovation and has been ranked                                      among the top ten ""Institutes of National Importance and Central Universities"" due to its                                      endeavors to promote entrepreneurship and innovation. Furthermore, it has been positioned                                      within the 151-300 range of overall rankings according to the NIRF-Innovation rating-2023.                                      The role of the university in shaping India’s educational landscape is immense. Through                                      strategic collaborations, groundbreaking research, and its unwavering commitment to                                      quality, IGNOU reinforces the pillars of access, affordability, equity, and excellence in                                      education. We invite you to explore IGNOU’s unparalleled legacy and be part of a vibrant journey                                      toward academic and professional growth. Prof. Uma Kanjilal Vice Chancellor, IGNOU Prof. Uma Kanjilal Vice Chancellor, IGNOU"
www.ignou.ac.in,http://www.ignou.ac.in/,FYUP,"Welcome to Indira Gandhi National Open University (IGNOU), a premier institution established by an Act of Parliament in 1985 with the mission to democratize education in India and                  beyond. Empowered by the IGNOU Act, the University holds a unique mandate to provide inclusive and equitable access to higher education across the nation and through its overseas                  learner support centres, reflecting its expansive jurisdiction and global vision. Read More Vice Chancellor's Message Welcome to Indira Gandhi National Open University (IGNOU), a premier institution established by an Act of Parliament in 1985 with the mission to democratize                                      education                                      in India and beyond. Empowered by the IGNOU Act, the University holds a unique mandate to provide inclusive and equitable access to higher education across the                                      nation                                      and through its overseas learner support centres, reflecting its expansive jurisdiction and global vision. IGNOU proudly stands as the No. 1 Open University in the National Institutional Ranking                                      Framework (NIRF) and the first Open University to receive the prestigious A++                                      accreditation from NAAC, these are recognitions of its excellence in the open, distance and                                      online learning system. With over 69 Regional Centres, 2,000+ Learner Support Centres                                      pan-India, and 25 Overseas Study Centres in 15 countries, IGNOU reaches the remotest                                      corners of India and serves diverse learners, including marginalized communities, persons                                      with disabilities, and international students. As a torchbearer of innovation, IGNOU integrates technology with education through                                      initiatives like MOOCs on SWAYAM, SWAYAM PRABHA channels, and e-Gyankosh,                                      ensuring quality education is both accessible and affordable. With 325 programmes,                                      including Four-Year Undergraduate Programmes (FYUP) and skill-based courses, the                                      University continues to align with the National Education Policy 2020 to meet emerging                                      educational and professional needs. IGNOU offers 45 online academic programmes through                                      its own Learning Management System (LMS). IGNOU has attained a significant milestone in the realm of innovation and has been ranked                                      among the top ten ""Institutes of National Importance and Central Universities"" due to its                                      endeavors to promote entrepreneurship and innovation. Furthermore, it has been positioned                                      within the 151-300 range of overall rankings according to the NIRF-Innovation rating-2023.                                      The role of the university in shaping India’s educational landscape is immense. Through                                      strategic collaborations, groundbreaking research, and its unwavering commitment to                                      quality, IGNOU reinforces the pillars of access, affordability, equity, and excellence in                                      education. We invite you to explore IGNOU’s unparalleled legacy and be part of a vibrant journey                                      toward academic and professional growth. Prof. Uma Kanjilal Vice Chancellor, IGNOU Prof. Uma Kanjilal Vice Chancellor, IGNOU"
www.ignou.ac.in,http://www.ignou.ac.in/,Four-Year Undergraduate Programme,"As a torchbearer of innovation, IGNOU integrates technology with education through                                      initiatives like MOOCs on SWAYAM, SWAYAM PRABHA channels, and e-Gyankosh,                                      ensuring quality education is both accessible and affordable. With 325 programmes,                                      including Four-Year Undergraduate Programmes (FYUP) and skill-based courses, the                                      University continues to align with the National Education Policy 2020 to meet emerging                                      educational and professional needs. IGNOU offers 45 online academic programmes through                                      its own Learning Management System (LMS)."
www.ignou.ac.in,http://www.ignou.ac.in/,FYUP,"As a torchbearer of innovation, IGNOU integrates technology with education through                                      initiatives like MOOCs on SWAYAM, SWAYAM PRABHA channels, and e-Gyankosh,                                      ensuring quality education is both accessible and affordable. With 325 programmes,                                      including Four-Year Undergraduate Programmes (FYUP) and skill-based courses, the                                      University continues to align with the National Education Policy 2020 to meet emerging                                      educational and professional needs. IGNOU offers 45 online academic programmes through                                      its own Learning Management System (LMS)."
